maneuver_id,split,scene_key,source_shard,record_index,is_chained,lane_chain_length,steps_executed,termination_reason,terminated,truncated,exception,nan_or_inf_observed,nan_or_inf_detail,downstream_status_counts,chain_advanced_count,final_active_transition_index,transition_index_out_of_bounds,success,collision,offroad,wall_time_s
MAN_0067,train,training_tfexample.tfrecord-00004-of-01000#226,training_tfexample.tfrecord-00004-of-01000,226,False,2,19,success,True,False,,False,,"{""OK"": 18, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 1, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,14.479068966989871
MAN_0068,train,training_tfexample.tfrecord-00004-of-01000#234,training_tfexample.tfrecord-00004-of-01000,234,False,2,23,success,True,False,,False,,"{""OK"": 6, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 17, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,14.39653476094827
MAN_0069,train,training_tfexample.tfrecord-00004-of-01000#234,training_tfexample.tfrecord-00004-of-01000,234,False,2,15,success,True,False,,False,,"{""OK"": 15, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,12.748359847988468
MAN_0070,train,training_tfexample.tfrecord-00004-of-01000#275,training_tfexample.tfrecord-00004-of-01000,275,False,2,8,success,True,False,,False,,"{""OK"": 0, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 5, ""COLLISION_BLOCKED"": 3, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,6.29772883298574
MAN_0071,train,training_tfexample.tfrecord-00004-of-01000#281,training_tfexample.tfrecord-00004-of-01000,281,True,3,20,failure_collision,True,False,,False,,"{""OK"": 0, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 20, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,False,True,False,11.169568396988325
MAN_0073,train,training_tfexample.tfrecord-00004-of-01000#295,training_tfexample.tfrecord-00004-of-01000,295,False,2,32,success,True,False,,False,,"{""OK"": 32, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,23.590535125986207
MAN_0074,train,training_tfexample.tfrecord-00004-of-01000#325,training_tfexample.tfrecord-00004-of-01000,325,False,2,17,success,True,False,,False,,"{""OK"": 17, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,14.105813998030499
MAN_0076,train,training_tfexample.tfrecord-00004-of-01000#364,training_tfexample.tfrecord-00004-of-01000,364,False,2,45,success,True,False,,False,,"{""OK"": 40, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 5, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,32.65972456900636
MAN_0077,train,training_tfexample.tfrecord-00004-of-01000#410,training_tfexample.tfrecord-00004-of-01000,410,False,2,30,truncation_horizon,False,True,,False,,"{""OK"": 30, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,False,False,False,26.228636873012874
MAN_0078,train,training_tfexample.tfrecord-00004-of-01000#431,training_tfexample.tfrecord-00004-of-01000,431,False,2,12,success,True,False,,False,,"{""OK"": 12, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,11.840009190957062
MAN_0079,train,training_tfexample.tfrecord-00004-of-01000#431,training_tfexample.tfrecord-00004-of-01000,431,False,2,26,success,True,False,,False,,"{""OK"": 26, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,21.43200541200349
