step,ego_x,ego_y,frenet_d_target_frame,frenet_s_d_target_frame,downstream_status_after_step
22,160.45465087890625,-1130.076416015625,2.738465315186004,0.37873972386502175,PLANNER_INFEASIBLE
23,160.42515563964844,-1130.0023193359375,2.679817576915857,0.07042675865399364,PLANNER_INFEASIBLE
24,160.4103240966797,-1129.965087890625,2.64996576045853,0.34425787930690643,PLANNER_INFEASIBLE
25,160.38082885742188,-1129.8909912109375,2.5905754195630926,0.06936654458540222,PLANNER_INFEASIBLE
26,160.36599731445312,-1129.853759765625,2.560723603105638,0.33902548214516515,PLANNER_INFEASIBLE
27,160.3365020751953,-1129.7796630859375,2.5013332622102005,0.068291921674237,PLANNER_INFEASIBLE
28,160.32167053222656,-1129.742431640625,2.471481445752873,0.33372266249330396,PLANNER_INFEASIBLE
29,160.29217529296875,-1129.6683349609375,2.412091104857309,0.0672031131415399,PLANNER_INFEASIBLE
30,160.27734375,-1129.631103515625,2.3822392883999814,0.32835052185485003,PLANNER_INFEASIBLE
31,160.2478485107422,-1129.5570068359375,2.322848947504443,0.06610034515499491,PLANNER_INFEASIBLE
32,160.23301696777344,-1129.519775390625,2.292997131047115,0.3229101761327105,PLANNER_INFEASIBLE
33,160.20352172851562,-1129.4456787109375,2.2336067901516525,0.06498384678194874,PLANNER_INFEASIBLE
34,160.18869018554688,-1129.408447265625,2.2037549736943247,0.31740275539737595,PLANNER_INFEASIBLE
35,160.15919494628906,-1129.3343505859375,2.144364632798786,0.06385384994182854,PLANNER_INFEASIBLE
36,160.1443634033203,-1129.297119140625,2.114512816341433,0.3118294036521812,PLANNER_INFEASIBLE
37,160.1148681640625,-1129.2230224609375,2.047376401198116,0.05711114222210703,PLANNER_INFEASIBLE
38,160.10003662109375,-1129.185791015625,2.013174601194083,0.27898855947045004,PLANNER_INFEASIBLE
39,160.07054138183594,-1129.1116943359375,1.945124983906146,0.05614294820702133,PLANNER_INFEASIBLE
40,160.0557098388672,-1129.074462890625,1.9109231839022724,0.27421976633530754,PLANNER_INFEASIBLE
41,160.02621459960938,-1129.0003662109375,1.8428735666143352,0.05516733175837604,PLANNER_INFEASIBLE
42,160.01138305664062,-1128.963134765625,1.8086717666104617,0.26941471970687064,PLANNER_INFEASIBLE
43,159.9818878173828,-1128.8890380859375,1.7406221493225245,0.05418442185850102,PLANNER_INFEASIBLE
44,159.96705627441406,-1128.851806640625,1.7064203493185146,0.26457405484104346,PLANNER_INFEASIBLE
45,159.93756103515625,-1128.7777099609375,1.6383707320305774,0.05319434845396415,PLANNER_INFEASIBLE
46,159.9227294921875,-1128.740478515625,1.6041689320267039,0.25969841170267516,PLANNER_INFEASIBLE
47,159.8932342529297,-1128.6663818359375,1.5361193147387666,0.052197242438391384,PLANNER_INFEASIBLE
48,159.87840270996094,-1128.629150390625,1.5019175147348702,0.2547884348809508,PLANNER_INFEASIBLE
49,159.84890747070312,-1128.5550537109375,1.4338678974467967,0.051193235635161996,PLANNER_INFEASIBLE
50,159.83407592773438,-1128.517822265625,1.3996660974429231,0.24984477350417456,PLANNER_INFEASIBLE
51,159.80458068847656,-1128.4437255859375,1.331616480154986,0.05018246077998055,PLANNER_INFEASIBLE
52,159.7897491455078,-1128.406494140625,1.2974146801511124,0.2448680811539496,PLANNER_INFEASIBLE
53,159.76025390625,-1128.3323974609375,1.2293650628631752,0.04916505150332872,PLANNER_INFEASIBLE
54,159.74542236328125,-1128.295166015625,1.1951632628593016,0.23985901577877144,PLANNER_INFEASIBLE
55,159.71592712402344,-1128.2210693359375,1.127113645571228,0.0481411423127982,PLANNER_INFEASIBLE
56,159.7010955810547,-1128.183837890625,1.0929118455673545,0.23481823960704365,PLANNER_INFEASIBLE
57,159.67160034179688,-1128.1097412109375,1.0248622282794173,0.04711086857530829,PLANNER_INFEASIBLE
58,159.65676879882812,-1128.072509765625,0.990660428275521,0.2297464190595262,PLANNER_INFEASIBLE
59,159.6272735595703,-1127.9984130859375,0.9216123831938494,0.04319477412988591,PLANNER_INFEASIBLE
60,159.61244201660156,-1127.961181640625,0.8841538234775232,0.21101295978789233,PLANNER_INFEASIBLE
